date,description,debit,credit,balance
2026-01-01,Wallet Topup,0,9000,11000
2026-01-02,Rent Payment,8500,0,2500
2026-01-03,Groceries,1800,0,700
2026-01-05,Cash Withdrawal,1400,0,-700
2026-01-07,UPI Food,900,0,-1600
2026-01-10,BNPL EMI,2100,0,-3700
2026-01-12,Gig Payout,0,4200,500
2026-01-14,Utility Bill,1300,0,-800
2026-01-17,Loan Repayment,2500,0,-3300
2026-01-21,Card Payment,3200,0,-6500
2026-01-26,Gig Payout,0,3800,-2700
2026-01-29,Fuel,900,0,-3600
2026-02-01,Gig Payout,0,8500,4900
2026-02-03,Rent Payment,8500,0,-3600
2026-02-04,Groceries,1700,0,-5300
2026-02-06,Cash Withdrawal,1500,0,-6800
2026-02-09,BNPL EMI,2200,0,-9000
2026-02-12,Gig Payout,0,4100,-4900
2026-02-15,UPI Food,1000,0,-5900
2026-02-18,Loan Repayment,2500,0,-8400
2026-02-22,Card Payment,3400,0,-11800
2026-02-25,Gig Payout,0,3600,-8200
2026-02-28,Medical Expense,1900,0,-10100
2026-03-01,Gig Payout,0,9200,-900
2026-03-02,Rent Payment,8500,0,-9400
2026-03-05,Groceries,2000,0,-11400
2026-03-08,Cash Withdrawal,1700,0,-13100
2026-03-11,BNPL EMI,2300,0,-15400
2026-03-14,Gig Payout,0,4300,-11100
2026-03-18,Utility Bill,1500,0,-12600
2026-03-22,Loan Repayment,2700,0,-15300
2026-03-26,Card Payment,3600,0,-18900
2026-03-29,Gig Payout,0,4000,-14900
