date,description,debit,credit,balance
2026-01-01,Salary Credit,0,65000,90000
2026-01-02,Rent Payment,18000,0,72000
2026-01-03,Groceries,2600,0,69400
2026-01-05,Electric Bill,1900,0,67500
2026-01-08,Freelance Payout,12000,0,79500
2026-01-11,Fuel,1400,0,78100
2026-01-14,UPI Food,1200,0,76900
2026-01-18,SIP Investment,5000,0,71900
2026-01-24,Mobile Recharge,600,0,71300
2026-01-29,Refund Credit,0,1800,73100
2026-02-01,Salary Credit,0,66000,139100
2026-02-03,Rent Payment,18000,0,121100
2026-02-05,Groceries,2800,0,118300
2026-02-07,Internet Bill,1100,0,117200
2026-02-10,Part-time Income,0,9000,126200
2026-02-13,Fuel,1500,0,124700
2026-02-16,Insurance Premium,3200,0,121500
2026-02-21,UPI Dining,1800,0,119700
2026-02-25,EMI Existing Loan,4200,0,115500
2026-02-28,Cashback Credit,0,900,116400
2026-03-01,Salary Credit,0,67000,183400
2026-03-03,Rent Payment,18000,0,165400
2026-03-05,Groceries,3000,0,162400
2026-03-09,Freelance Payout,0,11000,173400
2026-03-12,Utility Bills,2600,0,170800
2026-03-15,Fuel,1300,0,169500
2026-03-19,Medical,2200,0,167300
2026-03-22,UPI Shopping,2400,0,164900
2026-03-26,EMI Existing Loan,4200,0,160700
2026-03-29,Interest Credit,0,700,161400
